pid,business_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
14,22,0,0,0,0
14,31,0,0,0,0
14,167,1,143,0,0
14,22,0,0,0,0
14,203,1,179,0,0
14,23,0,0,0,0
14,22,0,0,0,0
14,162,1,136,0,0
14,24,0,0,0,0
14,33,0,0,0,0
14,101,1,76,0,0
14,34,0,0,0,0
14,37,0,0,0,0
14,33,1,8,0,0
14,23,0,0,0,0
14,258,1,227,0,0
14,26,0,0,0,0
14,27,0,0,0,0
14,191,1,149,0,0
14,63,0,0,0,0
14,29,0,0,0,0
14,129,1,104,0,0
14,25,0,0,0,0
14,25,0,0,0,0
14,78,1,53,0,0
14,27,0,0,0,0
14,27,0,0,0,0
14,117,1,92,0,0
14,41,0,0,0,0
14,23,0,0,0,0
14,168,1,144,0,0
14,20,0,0,0,0
14,24,0,0,0,0
14,200,1,166,0,0
14,21,0,0,0,0
14,24,0,0,0,0
14,310,1,279,0,0
14,24,0,0,0,0
14,40,0,0,0,0
14,18,0,0,0,0
14,68,1,49,0,0
14,35,0,0,0,0
14,18,0,0,0,0
14,141,1,115,0,0
14,25,0,0,0,0
14,45,0,0,0,0
14,327,1,263,0,0
14,29,0,0,0,0
14,28,0,0,0,0
14,21,0,0,0,0
14,44,1,19,0,0
14,27,0,0,0,0
14,20,0,0,0,0
14,117,1,94,0,0
14,25,0,0,0,0
14,24,0,0,0,0
14,192,1,173,0,0
14,40,0,0,0,0
14,27,0,0,0,0
14,32,0,0,0,0
14,65,1,42,0,0
14,26,0,0,0,0
14,20,0,0,0,0
14,141,1,123,0,0
14,22,0,0,0,0
14,25,0,0,0,0
14,214,1,190,0,0
14,26,0,0,0,0
14,31,0,0,0,0
14,29,0,0,0,0
14,67,1,44,0,0
14,26,0,0,0,0
14,24,0,0,0,0
14,155,1,132,0,0
14,20,0,0,0,0
14,28,0,0,0,0
14,27,0,0,0,0
14,120,1,82,0,0
14,28,0,0,0,0
14,25,0,0,0,0
14,199,1,167,0,0
14,23,0,0,0,0
14,23,0,0,0,0
14,26,0,0,0,0
14,51,1,32,0,0
14,26,0,0,0,0
14,25,0,0,0,0
14,199,1,175,0,0
14,42,0,0,0,0
14,38,0,0,0,0
14,36,0,0,0,0
14,60,1,41,0,0
14,28,0,0,0,0
14,29,0,0,0,0
14,168,1,145,0,0
14,27,0,0,0,0
14,25,0,0,0,0
14,21,0,0,0,0
14,122,1,90,0,0
14,24,0,0,0,0
14,27,0,0,0,0
14,221,1,176,0,0
14,22,0,0,0,0
14,22,0,0,0,0
14,26,0,0,0,0
14,134,1,108,0,0
14,20,0,0,0,0
14,22,0,0,0,0
14,302,1,268,0,0
14,21,0,0,0,0
14,19,0,0,0,0
14,23,0,0,0,0
14,107,1,88,0,0
14,27,0,0,0,0
14,29,0,0,0,0
14,260,1,239,0,0
14,21,0,0,0,0
14,34,0,0,0,0
14,27,0,0,0,0
14,84,1,58,0,0
14,26,0,0,0,0
14,34,0,0,0,0
14,188,1,157,0,0
14,23,0,0,0,0
14,23,0,0,0,0
14,24,0,0,0,0
14,99,1,69,0,0
14,48,0,0,0,0
14,38,0,0,0,0
14,214,1,186,0,0
14,25,0,0,0,0
14,34,0,0,0,0
14,25,0,0,0,0
14,73,1,52,0,0
14,29,0,0,0,0
14,33,0,0,0,0
14,238,1,205,0,0
14,21,0,0,0,0
14,20,0,0,0,0
14,26,0,0,0,0
14,89,1,62,0,0
14,25,0,0,0,0
14,18,0,0,0,0
14,202,1,166,0,0
14,30,0,0,0,0
14,33,0,0,0,0
14,23,0,0,0,0
14,142,1,110,0,0
14,26,0,0,0,0
14,23,0,0,0,0
14,193,1,174,0,0
14,32,0,0,0,0
14,27,0,0,0,0
14,26,0,0,0,0
14,122,1,100,0,0
14,36,0,0,0,0
14,37,0,0,0,0
14,260,1,232,0,0
14,22,0,0,0,0
14,33,0,0,0,0
14,25,0,0,0,0
14,113,1,66,0,0
14,26,0,0,0,0
14,23,0,0,0,0
14,316,1,263,0,0
14,21,0,0,0,0
14,26,0,0,0,0
14,26,0,0,0,0
14,79,1,57,0,0
14,24,0,0,0,0
14,21,0,0,0,0
14,141,1,120,0,0
14,33,0,0,0,0
14,22,0,0,0,0
14,25,0,0,0,0
14,84,1,57,0,0
14,26,0,0,0,0
14,26,0,0,0,0
14,188,1,166,0,0
14,25,0,0,0,0
14,23,0,0,0,0
14,31,0,0,0,0
14,87,1,61,0,0
14,29,0,0,0,0
14,25,0,0,0,0
14,217,1,194,0,0
14,25,0,0,0,0
14,25,0,0,0,0
14,21,0,0,0,0
14,83,1,60,0,0
14,32,0,0,0,0
14,20,0,0,0,0
14,237,1,214,0,0
14,31,0,0,0,0
14,37,0,0,0,0
14,30,0,0,0,0
14,68,1,48,0,0
14,17,0,0,0,0
14,19,0,0,0,0
14,210,1,188,0,0
14,25,0,0,0,0
14,35,0,0,0,0
14,45,0,0,0,0
14,112,1,69,0,0
14,31,0,0,0,0
14,33,0,0,0,0
14,157,1,134,0,0
14,19,0,0,0,0
14,24,0,0,0,0
14,21,0,0,0,0
14,94,1,69,0,0
14,24,0,0,0,0
14,35,0,0,0,0
14,217,1,184,0,0
14,36,0,0,0,0
14,40,0,0,0,0
14,27,0,0,0,0
14,84,1,62,0,0
14,20,0,0,0,0
14,22,0,0,0,0
14,206,1,178,0,0
14,27,0,0,0,0
14,37,0,0,0,0
14,35,0,0,0,0
14,95,1,73,0,0
14,27,0,0,0,0
14,18,0,0,0,0
14,154,1,134,0,0
14,52,0,0,0,0
14,29,0,0,0,0
14,30,0,0,0,0
14,106,1,77,0,0
14,25,0,0,0,0
14,19,0,0,0,0
14,215,1,186,0,0
14,29,0,0,0,0
14,24,0,0,0,0
14,29,0,0,0,0
14,88,1,65,0,0
14,20,0,0,0,0
14,30,0,0,0,0
14,362,1,317,0,0
14,20,0,0,0,0
14,22,0,0,0,0
14,32,0,0,0,0
14,78,1,50,0,0
14,27,0,0,0,0
14,28,0,0,0,0
14,266,1,219,0,0
14,27,0,0,0,0
14,26,0,0,0,0
14,31,0,0,0,0
14,86,1,64,0,0
14,25,0,0,0,0
14,31,0,0,0,0
14,202,1,166,0,0
14,28,0,0,0,0
14,23,0,0,0,0
14,37,0,0,0,0
14,151,1,118,0,0
14,22,0,0,0,0
14,20,0,0,0,0
14,215,1,187,0,0
14,30,0,0,0,0
14,21,0,0,0,0
14,27,0,0,0,0
14,110,1,64,0,0
14,34,0,0,0,0
14,22,0,0,0,0
14,248,1,209,0,0
14,33,0,0,0,0
14,53,0,0,0,0
14,35,0,0,0,0
14,129,1,95,0,0
14,32,0,0,0,0
14,43,0,0,0,0
14,196,1,160,0,0
14,24,0,0,0,0
14,24,0,0,0,0
14,27,0,0,0,0
14,136,1,109,0,0
14,32,0,0,0,0
14,35,0,0,0,0
14,305,1,259,0,0
14,28,0,0,0,0
14,38,0,0,0,0
14,40,0,0,0,0
14,164,1,131,0,0
14,33,0,0,0,0
14,23,0,0,0,0
14,293,1,268,0,0
14,26,0,0,0,0
14,25,0,0,0,0
14,27,0,0,0,0
14,128,1,100,0,0
14,19,0,0,0,0
14,37,0,0,0,0
14,377,1,335,0,0
14,38,0,0,0,0
14,30,0,0,0,0
14,27,0,0,0,0
14,80,1,56,0,0
14,35,0,0,0,0
14,49,0,0,0,0
14,187,1,134,0,0
14,42,0,0,0,0
14,42,0,0,0,0
14,30,0,0,0,0
14,112,1,90,0,0
14,25,0,0,0,0
14,36,0,0,0,0
14,277,1,249,0,0
14,39,0,0,0,0
14,35,0,0,0,0
14,66,0,0,0,0
14,185,1,130,0,0
14,21,0,0,0,0
14,39,0,0,0,0
14,250,1,163,0,0
14,26,0,0,0,0
14,31,0,0,0,0
14,27,0,0,0,0
14,95,1,74,0,0
14,23,0,0,0,0
14,23,0,0,0,0
14,328,1,303,0,0
14,34,0,0,0,0
14,27,0,0,0,0
14,22,0,0,0,0
14,75,1,48,0,0
14,21,0,0,0,0
14,41,0,0,0,0
14,309,1,286,0,0
14,22,0,0,0,0
14,30,0,0,0,0
14,22,0,0,0,0
14,90,1,66,0,0
14,24,0,0,0,0
14,19,0,0,0,0
14,219,1,196,0,0
14,26,0,0,0,0
14,27,0,0,0,0
14,22,0,0,0,0
14,69,1,50,0,0
14,24,0,0,0,0
14,20,0,0,0,0
14,262,1,237,0,0
14,33,0,0,0,0
14,29,0,0,0,0
14,26,0,0,0,0
14,100,1,71,0,0
14,45,0,0,0,0
14,34,0,0,0,0
14,240,1,218,0,0
14,23,0,0,0,0
14,43,0,0,0,0
14,27,0,0,0,0
14,117,1,77,0,0
14,23,0,0,0,0
14,40,0,0,0,0
14,282,1,217,0,0
14,72,0,0,0,0
14,39,0,0,0,0
14,31,0,0,0,0
14,157,1,108,0,0
14,87,0,0,0,0
14,70,0,0,0,0
14,460,1,392,0,0
14,36,0,0,0,0
14,34,0,0,0,0
14,27,0,0,0,0
14,108,1,85,0,0
14,49,0,0,0,0
14,42,0,0,0,0
14,188,1,158,0,0
14,40,0,0,0,0
14,52,0,0,0,0
14,79,0,0,0,0
14,113,1,78,0,0
14,35,0,0,0,0
14,26,0,0,0,0
14,280,1,250,0,0
14,47,0,0,0,0
14,58,0,0,0,0
14,43,0,0,0,0
14,142,1,100,0,0
14,134,0,0,0,0
14,40,0,0,0,0
14,359,1,308,0,0
14,49,0,0,0,0
14,25,0,0,0,0
14,35,0,0,0,0
14,103,1,74,0,0
14,23,0,0,0,0
14,24,0,0,0,0
9,1601,3,341,1,1170
9,1449,1,309,1,1027
9,898,1,269,1,597
9,530,1,456,0,0
9,675,1,642,0,0
14,403,1,370,0,0
14,48,0,0,0,0
14,41,0,0,0,0
14,43,0,0,0,0
14,108,1,85,0,0
14,21,0,0,0,0
14,24,0,0,0,0
14,173,1,147,0,0
14,29,0,0,0,0
14,25,0,0,0,0
14,40,0,0,0,0
14,70,1,50,0,0
14,24,0,0,0,0
14,27,0,0,0,0
14,284,1,253,0,0
14,34,0,0,0,0
14,31,0,0,0,0
14,55,0,0,0,0
14,129,1,83,0,0
14,81,0,0,0,0
14,34,0,0,0,0
14,448,1,411,0,0
14,25,0,0,0,0
14,37,0,0,0,0
14,51,0,0,0,0
14,127,1,107,0,0
14,24,0,0,0,0
14,25,0,0,0,0
14,180,1,157,0,0
14,20,0,0,0,0
14,22,0,0,0,0
14,21,0,0,0,0
14,78,1,54,0,0
14,25,0,0,0,0
14,21,0,0,0,0
14,152,1,131,0,0
14,26,0,0,0,0
14,27,0,0,0,0
14,27,0,0,0,0
14,70,1,49,0,0
14,31,0,0,0,0
14,47,0,0,0,0
14,260,1,229,0,0
14,57,0,0,0,0
14,30,0,0,0,0
14,54,0,0,0,0
14,117,1,86,0,0
14,38,0,0,0,0
14,32,0,0,0,0
14,238,1,205,0,0
14,27,0,0,0,0
14,25,0,0,0,0
14,21,0,0,0,0
