pid,business_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
9,103,0,0,0,0
9,59,0,0,0,0
9,50,0,0,0,0
9,62,1,2,0,0
9,58,0,0,0,0
9,50,0,0,0,0
9,59,0,0,0,0
9,64,1,6,0,0
9,45,0,0,0,0
9,48,0,0,0,0
9,49,0,0,0,0
9,49,1,3,0,0
9,50,0,0,0,0
9,47,0,0,0,0
9,45,0,0,0,0
9,49,1,3,0,0
9,47,0,0,0,0
9,64,0,0,0,0
9,90,0,0,0,0
9,70,1,2,0,0
9,62,0,0,0,0
9,74,0,0,0,0
9,50,0,0,0,0
9,73,1,1,0,0
9,49,0,0,0,0
9,44,0,0,0,0
9,48,1,2,0,0
9,45,0,0,0,0
9,76,0,0,0,0
9,58,1,1,0,0
9,55,0,0,0,0
9,64,0,0,0,0
9,57,1,3,0,0
9,44,0,0,0,0
9,45,0,0,0,0
9,50,1,4,0,0
9,49,0,0,0,0
9,60,0,0,0,0
9,58,1,3,0,0
9,63,0,0,0,0
9,53,0,0,0,0
9,51,1,2,0,0
9,77,0,0,0,0
9,53,0,0,0,0
9,56,1,1,0,0
9,45,0,0,0,0
9,50,1,2,0,0
9,48,0,0,0,0
9,48,0,0,0,0
9,53,1,1,0,0
9,52,0,0,0,0
9,51,1,2,0,0
9,44,0,0,0,0
9,53,1,3,0,0
9,51,0,0,0,0
9,45,0,0,0,0
9,52,1,2,0,0
9,57,0,0,0,0
9,66,1,1,0,0
9,63,0,0,0,0
9,64,1,2,0,0
9,61,0,0,0,0
9,68,1,1,0,0
9,53,0,0,0,0
9,70,1,1,0,0
9,49,1,2,0,0
9,46,0,0,0,0
9,49,1,2,0,0
9,45,0,0,0,0
9,52,1,2,0,0
9,43,0,0,0,0
9,48,1,3,0,0
9,48,1,1,0,0
9,45,0,0,0,0
9,48,1,2,0,0
9,59,1,2,0,0
9,44,0,0,0,0
9,59,1,1,0,0
9,48,1,2,0,0
9,62,1,3,0,0
9,78,0,0,0,0
9,69,1,2,0,0
9,52,0,0,0,0
9,77,1,1,0,0
9,61,1,1,0,0
9,48,0,0,0,0
9,56,1,1,0,0
9,47,1,1,0,0
9,46,0,0,0,0
9,59,1,1,0,0
9,55,1,1,0,0
9,67,1,4,0,0
9,43,0,0,0,0
9,45,1,1,0,0
9,47,1,2,0,0
9,47,1,2,0,0
9,44,0,0,0,0
9,51,1,4,0,0
9,56,1,1,0,0
9,60,0,0,0,0
9,63,1,4,0,0
9,51,0,0,0,0
9,55,1,3,0,0
9,54,0,0,0,0
9,57,1,5,0,0
9,50,0,0,0,0
9,48,1,2,0,0
9,48,0,0,0,0
9,52,1,2,0,0
9,46,0,0,0,0
9,47,0,0,0,0
9,48,1,0,0,0
9,50,0,0,0,0
9,44,0,0,0,0
9,57,1,1,0,0
9,47,0,0,0,0
9,49,1,1,0,0
9,46,0,0,0,0
9,45,0,0,0,0
9,62,1,3,0,0
9,62,0,0,0,0
9,62,1,1,0,0
9,57,0,0,0,0
9,69,1,8,0,0
9,70,0,0,0,0
9,71,0,0,0,0
9,45,1,1,0,0
9,47,0,0,0,0
9,45,1,1,0,0
9,51,0,0,0,0
9,53,1,1,0,0
9,44,0,0,0,0
9,46,1,1,0,0
9,43,0,0,0,0
9,44,1,2,0,0
9,47,0,0,0,0
9,45,1,1,0,0
9,44,0,0,0,0
9,44,1,1,0,0
9,45,0,0,0,0
9,59,1,1,0,0
9,68,1,9,0,0
9,52,0,0,0,0
9,53,1,2,0,0
9,51,0,0,0,0
9,62,1,2,0,0
9,62,0,0,0,0
9,47,1,2,0,0
9,44,0,0,0,0
9,48,0,0,0,0
9,47,1,2,0,0
9,44,0,0,0,0
9,47,1,2,0,0
9,44,0,0,0,0
9,45,0,0,0,0
9,50,1,2,0,0
9,45,0,0,0,0
9,47,0,0,0,0
9,47,1,2,0,0
9,45,0,0,0,0
9,49,0,0,0,0
9,71,1,3,0,0
9,66,0,0,0,0
9,60,0,0,0,0
9,62,1,2,0,0
9,60,0,0,0,0
9,59,1,2,0,0
9,54,0,0,0,0
9,43,0,0,0,0
9,44,1,1,0,0
9,47,0,0,0,0
9,44,1,2,0,0
9,46,0,0,0,0
9,49,1,4,0,0
9,46,0,0,0,0
9,44,0,0,0,0
9,50,1,1,0,0
9,46,0,0,0,0
9,52,1,2,0,0
9,47,0,0,0,0
9,46,1,2,0,0
9,52,0,0,0,0
9,74,1,3,0,0
9,57,0,0,0,0
9,60,1,2,0,0
9,65,0,0,0,0
9,71,1,2,0,0
9,48,1,2,0,0
9,45,0,0,0,0
9,46,1,2,0,0
9,43,0,0,0,0
9,54,1,3,0,0
9,49,1,2,0,0
9,43,0,0,0,0
9,46,1,2,0,0
9,44,0,0,0,0
9,45,1,1,0,0
9,44,0,0,0,0
9,51,1,4,0,0
9,44,0,0,0,0
9,46,1,2,0,0
9,44,0,0,0,0
9,52,0,0,0,0
9,70,1,3,0,0
9,76,0,0,0,0
9,48,1,1,0,0
9,52,0,0,0,0
9,126,1,17,0,0
9,44,0,0,0,0
9,43,0,0,0,0
9,47,1,2,0,0
9,53,0,0,0,0
9,45,0,0,0,0
9,45,1,1,0,0
9,49,0,0,0,0
9,45,0,0,0,0
9,47,1,2,0,0
9,61,0,0,0,0
9,46,0,0,0,0
9,46,0,0,0,0
9,51,1,2,0,0
9,50,0,0,0,0
9,45,0,0,0,0
9,53,1,1,0,0
9,64,0,0,0,0
9,69,0,0,0,0
9,68,0,0,0,0
9,69,1,2,0,0
9,57,0,0,0,0
9,44,0,0,0,0
9,48,1,0,0,0
9,44,0,0,0,0
9,48,0,0,0,0
9,48,1,2,0,0
9,44,0,0,0,0
9,52,0,0,0,0
9,47,1,2,0,0
9,43,0,0,0,0
9,44,0,0,0,0
9,46,1,2,0,0
9,43,0,0,0,0
9,56,0,0,0,0
9,55,1,1,0,0
9,49,0,0,0,0
9,74,1,3,0,0
9,75,0,0,0,0
9,66,0,0,0,0
9,70,1,1,0,0
9,58,0,0,0,0
9,50,1,1,0,0
9,50,0,0,0,0
9,46,0,0,0,0
9,46,1,2,0,0
9,43,0,0,0,0
9,44,1,1,0,0
9,45,0,0,0,0
9,47,1,1,0,0
9,43,0,0,0,0
9,46,1,1,0,0
9,43,0,0,0,0
9,46,1,1,0,0
9,46,0,0,0,0
9,45,1,1,0,0
9,45,0,0,0,0
9,45,1,2,0,0
9,46,0,0,0,0
9,56,1,3,0,0
9,75,0,0,0,0
9,61,1,2,0,0
9,91,1,8,0,0
9,57,0,0,0,0
9,78,1,5,1,25
9,44,0,0,0,0
9,43,0,0,0,0
9,45,1,2,0,0
9,44,0,0,0,0
9,49,1,5,0,0
9,43,0,0,0,0
9,42,0,0,0,0
9,63,1,4,1,12
9,44,0,0,0,0
9,44,0,0,0,0
9,60,1,9,0,0
9,43,0,0,0,0
9,42,0,0,0,0
9,52,0,0,0,0
9,62,1,1,0,0
9,50,0,0,0,0
9,57,0,0,0,0
9,58,1,5,0,0
9,55,0,0,0,0
9,56,0,0,0,0
9,44,0,0,0,0
9,52,1,4,0,0
9,44,0,0,0,0
9,43,0,0,0,0
9,45,0,0,0,0
9,48,1,3,0,0
9,43,0,0,0,0
9,48,0,0,0,0
9,45,0,0,0,0
9,48,0,0,0,0
