pid,business_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
9,1336,0,0,0,0
9,3415,0,0,0,0
9,1326,1,47,1,49
9,1562,0,0,0,0
9,1279,1,10,1,36
9,1541,0,0,0,0
9,1504,1,8,1,48
9,1340,0,0,0,0
9,1440,1,12,1,38
9,1294,0,0,0,0
9,1473,1,10,1,44
9,1382,0,0,0,0
9,1360,1,13,1,50
9,1453,0,0,0,0
9,1300,1,10,1,40
9,1349,0,0,0,0
9,1463,1,12,1,49
9,1394,0,0,0,0
9,1437,1,22,1,56
9,1365,0,0,0,0
9,1302,1,11,1,39
9,1293,0,0,0,0
9,1366,1,14,1,51
9,1380,0,0,0,0
9,1361,1,7,1,50
9,1296,0,0,0,0
9,1464,1,34,1,80
9,1290,0,0,0,0
9,1347,1,12,1,46
9,1315,0,0,0,0
9,1408,1,14,1,63
9,1254,0,0,0,0
9,1329,1,13,1,30
9,1328,0,0,0,0
9,1493,1,14,1,42
9,1268,0,0,0,0
9,1335,1,7,1,33
9,1353,0,0,0,0
9,1364,1,15,1,33
9,1320,0,0,0,0
9,1284,1,9,1,39
9,1412,0,0,0,0
9,1342,1,11,1,33
9,1346,0,0,0,0
9,1308,1,7,1,69
9,1345,0,0,0,0
9,1264,1,11,1,35
9,1314,0,0,0,0
9,1430,1,11,1,43
9,1366,0,0,0,0
9,1269,1,16,1,46
9,1255,0,0,0,0
9,1257,1,10,1,30
9,1332,0,0,0,0
9,1345,1,18,1,51
9,1334,0,0,0,0
9,1338,1,10,1,39
9,1394,0,0,0,0
9,1272,1,12,1,26
9,1270,0,0,0,0
9,1298,1,13,1,19
9,1280,0,0,0,0
9,1299,1,18,1,25
9,1199,0,0,0,0
9,1335,1,17,1,22
9,1246,0,0,0,0
9,1336,1,23,1,17
9,1353,0,0,0,0
9,1308,1,8,1,44
9,1250,0,0,0,0
9,1184,1,3,1,28
9,1249,0,0,0,0
9,1162,1,17,1,19
9,1501,0,0,0,0
9,1187,1,13,1,16
9,1365,0,0,0,0
9,1248,1,6,1,23
9,1267,0,0,0,0
9,1288,1,5,1,16
9,1174,0,0,0,0
9,1280,1,4,1,30
9,1120,0,0,0,0
9,1351,1,11,1,38
9,1273,0,0,0,0
9,1219,1,9,1,19
9,1273,0,0,0,0
9,1316,1,19,1,26
9,1274,0,0,0,0
9,1272,1,7,1,16
9,1230,0,0,0,0
9,1335,1,19,1,30
9,1270,0,0,0,0
9,1298,1,9,1,32
9,1312,0,0,0,0
9,1254,1,10,1,14
