pid,business_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
10,9,0,0,0,0
10,7,0,0,0,0
10,18,1,5,0,0
10,8,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,6,0,0,0,0
10,7,0,0,0,0
10,14,0,0,0,0
10,12,0,0,0,0
10,18,0,0,0,0
10,15,0,0,0,0
10,15,1,3,0,0
10,14,0,0,0,0
10,8,0,0,0,0
10,12,0,0,0,0
10,12,0,0,0,0
10,15,0,0,0,0
10,22,0,0,0,0
10,10,0,0,0,0
10,7,0,0,0,0
10,19,0,0,0,0
10,7,0,0,0,0
10,10,0,0,0,0
10,12,1,2,0,0
10,11,0,0,0,0
10,10,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,9,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,12,0,0,0,0
10,19,0,0,0,0
10,16,0,0,0,0
10,9,0,0,0,0
10,14,1,4,0,0
10,13,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,15,0,0,0,0
10,8,0,0,0,0
10,29,0,0,0,0
10,24,0,0,0,0
10,17,0,0,0,0
10,8,0,0,0,0
10,17,0,0,0,0
10,16,1,3,0,0
10,28,0,0,0,0
10,10,0,0,0,0
10,7,0,0,0,0
10,14,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,10,0,0,0,0
10,11,1,3,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,9,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,13,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,12,0,0,0,0
10,10,1,1,0,0
10,7,0,0,0,0
10,15,0,0,0,0
10,8,0,0,0,0
10,14,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,14,0,0,0,0
10,7,0,0,0,0
10,16,0,0,0,0
10,10,0,0,0,0
10,12,0,0,0,0
10,12,1,0,0,0
10,11,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,9,0,0,0,0
10,9,0,0,0,0
10,13,0,0,0,0
10,14,0,0,0,0
10,9,0,0,0,0
10,10,0,0,0,0
10,10,1,1,0,0
10,7,0,0,0,0
10,12,0,0,0,0
10,10,0,0,0,0
10,15,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,15,0,0,0,0
10,26,0,0,0,0
10,9,0,0,0,0
10,15,1,1,0,0
10,8,0,0,0,0
10,16,0,0,0,0
10,7,0,0,0,0
10,11,0,0,0,0
10,7,0,0,0,0
10,21,0,0,0,0
10,14,0,0,0,0
10,16,0,0,0,0
10,17,0,0,0,0
10,9,0,0,0,0
10,13,0,0,0,0
10,10,1,1,0,0
10,9,0,0,0,0
10,11,0,0,0,0
10,10,0,0,0,0
10,8,0,0,0,0
10,6,0,0,0,0
10,10,0,0,0,0
10,8,0,0,0,0
10,11,0,0,0,0
10,7,0,0,0,0
10,11,0,0,0,0
10,7,0,0,0,0
10,15,1,2,0,0
10,6,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,6,0,0,0,0
10,12,0,0,0,0
10,7,0,0,0,0
10,8,0,0,0,0
10,10,0,0,0,0
10,9,0,0,0,0
10,12,1,1,0,0
10,10,0,0,0,0
10,14,0,0,0,0
10,9,0,0,0,0
10,6,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,11,0,0,0,0
10,13,0,0,0,0
10,16,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,9,1,1,0,0
