pid,business_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
11,1377,0,0,0,0
11,1462,0,0,1,83
11,1443,0,0,0,0
11,1483,0,0,1,58
11,1409,0,0,0,0
11,1669,0,0,1,91
11,1319,0,0,0,0
11,1582,0,0,1,72
11,1346,0,0,0,0
11,1479,0,0,1,57
11,1492,0,0,0,0
11,1413,0,0,1,60
11,1399,0,0,0,0
11,1451,0,0,1,69
11,1520,0,0,0,0
11,1319,0,0,1,60
11,1561,0,0,0,0
11,1545,0,0,1,62
11,1336,0,0,0,0
11,1569,0,0,1,75
11,1382,0,0,0,0
11,1642,0,0,1,65
11,1370,0,0,0,0
11,1686,0,0,1,69
11,1589,0,0,0,0
11,1352,0,0,1,52
11,1753,0,0,0,0
11,1597,0,0,1,53
11,1434,0,0,0,0
11,1478,0,0,1,129
11,1391,0,0,0,0
11,1512,0,0,1,92
11,1344,0,0,0,0
11,1401,0,0,1,55
11,1411,0,0,0,0
11,1469,0,0,1,102
11,1357,0,0,0,0
11,1379,0,0,1,47
11,1430,0,0,0,0
11,1430,0,0,1,42
11,1474,0,0,0,0
11,1697,0,0,1,67
11,1349,0,0,0,0
11,1350,0,0,1,46
11,1377,0,0,0,0
11,1418,0,0,1,55
11,1336,0,0,0,0
11,1504,0,0,1,62
11,1316,0,0,0,0
11,1460,0,0,1,69
11,1720,0,0,0,0
11,1358,0,0,1,54
11,1465,0,0,0,0
11,1282,0,0,1,55
11,1433,0,0,0,0
11,1366,0,0,1,52
11,1562,0,0,0,0
11,1384,0,0,1,40
11,1352,0,0,0,0
11,1389,0,0,1,46
11,1376,0,0,0,0
11,1433,0,0,1,39
11,1324,0,0,0,0
11,1471,0,0,1,104
11,1263,0,0,0,0
11,1365,0,0,1,44
11,1347,0,0,0,0
11,1478,0,0,1,38
11,1320,0,0,0,0
11,1383,0,0,1,33
11,1390,0,0,0,0
11,1345,0,0,1,90
11,1331,0,0,0,0
11,1280,0,0,1,42
11,1431,0,0,0,0
11,1329,0,0,1,53
11,1352,0,0,0,0
11,1227,0,0,1,42
11,1397,0,0,0,0
11,1308,0,0,1,42
11,1272,0,0,0,0
11,1226,0,0,1,26
11,1376,0,0,0,0
11,1231,0,0,1,31
11,1371,0,0,0,0
11,1271,0,0,1,42
11,1423,0,0,0,0
11,1380,0,0,1,31
11,1262,0,0,0,0
11,1305,0,0,1,39
11,1405,0,0,0,0
11,1423,0,0,1,89
11,1252,0,0,0,0
11,1378,0,0,1,45
11,1201,0,0,0,0
11,1496,0,0,1,38
11,1261,0,0,0,0
11,1424,0,0,1,41
11,1254,0,0,0,0
11,1341,0,0,1,39
11,1353,0,0,0,0
11,1351,0,0,1,40
11,1320,0,0,0,0
11,1365,0,0,1,39
11,1284,0,0,0,0
11,1441,0,0,1,73
11,1418,0,0,0,0
11,1205,0,0,1,35
11,1453,0,0,0,0
11,1262,0,0,1,35
11,1347,0,0,0,0
11,1272,0,0,1,28
11,1345,0,0,0,0
11,1268,0,0,1,37
11,1408,0,0,0,0
11,1232,0,0,1,53
11,1334,0,0,0,0
11,1322,0,0,1,34
11,1347,0,0,0,0
11,1388,0,0,1,39
11,1284,0,0,0,0
11,1398,0,0,1,25
11,1327,0,0,0,0
11,1391,0,0,1,40
11,1346,0,0,0,0
11,1376,0,0,1,24
11,1253,0,0,0,0
11,1507,0,0,1,31
11,1203,0,0,0,0
11,1403,0,0,1,83
11,1266,0,0,0,0
11,1492,0,0,1,87
11,1298,0,0,0,0
11,1340,0,0,1,57
11,1332,0,0,0,0
11,1371,0,0,1,53
11,1325,0,0,0,0
11,1275,0,0,1,33
11,1411,0,0,0,0
11,1268,0,0,1,36
11,1397,0,0,0,0
11,1273,0,0,1,27
11,1438,0,0,0,0
11,1322,0,0,1,47
11,1283,0,0,0,0
11,1270,0,0,1,40
11,1492,0,0,0,0
11,1268,0,0,1,28
11,1286,0,0,0,0
11,1341,0,0,1,30
11,1380,0,0,0,0
11,1444,0,0,1,58
11,1252,0,0,0,0
11,1502,0,0,1,44
11,1197,0,0,0,0
11,1372,0,0,1,61
11,1241,0,0,0,0
11,1367,0,0,1,36
11,1293,0,0,0,0
11,1327,0,0,1,47
11,1264,0,0,0,0
11,1364,0,0,1,33
11,1342,0,0,0,0
11,1353,0,0,1,40
11,1281,0,0,0,0
11,1409,0,0,1,58
11,1444,0,0,0,0
11,1255,0,0,1,32
11,1310,0,0,0,0
11,1278,0,0,1,33
11,1333,0,0,0,0
11,1327,0,0,1,39
11,1344,0,0,0,0
11,1332,0,0,1,41
11,1360,0,0,0,0
11,1316,0,0,1,38
11,1438,0,0,0,0
11,1380,0,0,1,37
11,1249,0,0,0,0
11,1338,0,0,1,40
11,1314,0,0,0,0
11,1341,0,0,1,40
11,1247,0,0,0,0
11,1279,0,0,1,41
11,1390,0,0,0,0
11,1344,0,0,1,65
11,1244,0,0,0,0
11,1245,0,0,1,33
11,1551,0,0,0,0
11,1385,0,0,1,76
11,1218,0,0,0,0
11,1379,0,0,1,46
11,1539,0,0,0,0
11,1283,0,0,1,44
11,1213,0,0,0,0
11,1350,0,0,1,36
11,1427,0,0,0,0
