pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
13,50,0,0,0,0
13,22,0,0,0,0
13,29,0,0,0,0
13,140,1,110,0,0
13,14,0,0,0,0
13,19,0,0,0,0
13,14,0,0,0,0
13,178,1,145,0,0
13,17,0,0,0,0
13,20,0,0,0,0
13,12,0,0,0,0
13,184,1,162,0,0
13,12,0,0,0,0
13,15,0,0,0,0
13,14,0,0,0,0
13,177,1,163,0,0
13,18,0,0,0,0
13,19,0,0,0,0
13,14,0,0,0,0
13,331,1,318,0,0
13,7,0,0,0,0
13,19,0,0,0,0
13,8,0,0,0,0
13,13,0,0,0,0
13,8,0,0,0,0
13,11,0,0,0,0
13,176,1,154,0,0
13,16,0,0,0,0
13,16,0,0,0,0
13,13,0,0,0,0
13,160,1,145,0,0
13,15,0,0,0,0
13,5,0,0,0,0
13,4,0,0,0,0
13,132,1,123,0,0
13,5,0,0,0,0
13,4,0,0,0,0
13,6,0,0,0,0
13,145,1,136,0,0
13,13,0,0,0,0
13,7,0,0,0,0
13,6,0,0,0,0
13,148,1,140,0,0
13,12,0,0,0,0
13,12,0,0,0,0
13,16,0,0,0,0
13,163,1,148,0,0
13,10,0,0,0,0
13,7,0,0,0,0
13,4,0,0,0,0
13,174,1,165,0,0
13,12,0,0,0,0
13,5,0,0,0,0
13,9,0,0,0,0
13,323,1,308,0,0
13,4,0,0,0,0
13,5,0,0,0,0
13,7,0,0,0,0
13,301,2,286,0,0
13,9,0,0,0,0
13,7,0,0,0,0
13,5,0,0,0,0
13,4,0,0,0,0
13,125,1,117,0,0
13,4,0,0,0,0
13,5,0,0,0,0
13,5,0,0,0,0
13,136,1,131,0,0
13,5,0,0,0,0
13,6,0,0,0,0
13,9,0,0,0,0
13,144,1,140,0,0
13,5,0,0,0,0
13,5,0,0,0,0
13,6,0,0,0,0
13,147,1,141,0,0
13,6,0,0,0,0
13,4,0,0,0,0
13,6,0,0,0,0
13,147,1,143,0,0
13,5,0,0,0,0
13,7,0,0,0,0
13,7,0,0,0,0
13,149,1,144,0,0
13,10,0,0,0,0
13,6,0,0,0,0
13,4,0,0,0,0
13,195,2,189,0,0
13,8,0,0,0,0
13,12,0,0,0,0
13,11,0,0,0,0
