pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
11,181,0,0,0,0
11,14,0,0,0,0
11,16,0,0,0,0
11,14,0,0,0,0
11,15,0,0,0,0
11,16,0,0,0,0
11,26,0,0,0,0
11,18,0,0,0,0
11,14,0,0,0,0
11,16,0,0,0,0
11,15,0,0,0,0
11,14,0,0,0,0
11,16,0,0,0,0
11,15,0,0,0,0
11,14,0,0,0,0
11,13,0,0,0,0
11,14,0,0,0,0
11,13,0,0,0,0
11,14,0,0,0,0
11,15,0,0,0,0
11,16,0,0,0,0
11,15,0,0,0,0
11,13,0,0,0,0
11,15,0,0,0,0
11,18,0,0,0,0
11,17,0,0,0,0
11,17,0,0,0,0
11,47,1,10,0,0
11,33,1,7,0,0
11,12,0,0,0,0
11,12,0,0,0,0
11,15,0,0,0,0
11,15,0,0,0,0
11,19,0,0,0,0
11,14,0,0,0,0
11,12,0,0,0,0
11,14,0,0,0,0
11,11,0,0,0,0
11,14,0,0,0,0
11,20,0,0,0,0
11,11,0,0,0,0
11,11,0,0,0,0
11,24,0,0,0,0
11,12,0,0,0,0
11,13,0,0,0,0
11,13,0,0,0,0
11,11,0,0,0,0
11,11,0,0,0,0
11,12,0,0,0,0
11,29,0,0,0,0
11,27,0,0,0,0
11,14,0,0,0,0
11,33,0,0,0,0
11,18,0,0,0,0
11,36,1,7,0,0
11,31,1,6,0,0
11,14,0,0,0,0
11,14,0,0,0,0
11,14,0,0,0,0
11,11,0,0,0,0
11,12,0,0,0,0
11,14,0,0,0,0
11,16,0,0,0,0
11,21,0,0,0,0
11,13,0,0,0,0
11,13,0,0,0,0
11,12,0,0,0,0
11,11,0,0,0,0
11,11,0,0,0,0
11,21,0,0,0,0
11,11,0,0,0,0
11,13,0,0,0,0
11,16,0,0,0,0
11,13,0,0,0,0
11,11,0,0,0,0
11,15,0,0,0,0
11,19,0,0,0,0
11,11,0,0,0,0
11,15,0,0,0,0
11,11,0,0,0,0
11,14,0,0,0,0
11,30,1,7,0,0
11,35,1,10,0,0
11,16,0,0,0,0
11,11,0,0,0,0
11,16,0,0,0,0
11,15,0,0,0,0
11,12,0,0,0,0
11,11,0,0,0,0
11,11,0,0,0,0
11,11,0,0,0,0
