pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
28281,123,1,33,0,0
28281,133,2,69,0,0
28281,89,1,35,0,0
28281,157,3,90,0,0
28281,75,0,0,0,0
28281,144,1,87,0,0
28281,146,2,101,0,0
28281,78,1,13,0,0
28281,131,1,79,0,0
28281,38,0,0,0,0
28281,49,0,0,0,0
28281,216,2,158,0,0
28281,130,1,79,0,0
28281,52,0,0,0,0
28281,48,0,0,0,0
28281,253,2,188,0,0
28281,150,1,96,0,0
28281,49,0,0,0,0
28281,48,0,0,0,0
28281,222,1,157,0,0
28281,118,1,64,0,0
28281,44,0,0,0,0
28281,44,0,0,0,0
28281,192,1,145,0,0
28281,72,0,0,0,0
28281,159,1,95,0,0
28281,46,0,0,0,0
28281,218,1,171,0,0
28281,127,2,55,0,0
28281,97,1,44,0,0
28281,51,0,0,0,0
28281,47,0,0,0,0
28281,251,1,205,0,0
28281,89,1,44,0,0
28281,156,3,107,0,0
28281,47,0,0,0,0
28281,46,0,0,0,0
28281,205,1,159,0,0
28281,112,2,47,0,0
28281,117,1,71,0,0
28281,127,2,74,0,0
28281,95,1,46,0,0
28281,46,0,0,0,0
28281,120,1,67,0,0
28281,46,0,0,0,0
28281,44,0,0,0,0
28281,267,3,218,0,0
28281,46,0,0,0,0
28281,133,1,80,0,0
28281,123,3,67,0,0
28281,130,1,76,0,0
28281,56,0,0,0,0
28281,160,1,111,0,0
28281,44,0,0,0,0
28281,44,0,0,0,0
28281,261,3,214,0,0
28281,81,0,0,0,0
28281,133,1,86,0,0
28281,147,3,79,0,0
28281,50,0,0,0,0
28281,155,1,101,0,0
28281,48,0,0,0,0
28281,44,0,0,0,0
28281,246,3,199,0,0
28281,48,0,0,0,0
28281,188,2,141,0,0
28281,100,2,47,0,0
28281,43,0,0,0,0
28281,131,1,84,0,0
28281,150,2,101,0,0
28281,53,0,0,0,0
28281,44,0,0,0,0
28281,50,0,0,0,0
28281,46,0,0,0,0
28281,476,3,432,0,0
28281,75,1,31,0,0
28281,70,1,26,0,0
28281,43,0,0,0,0
28281,44,0,0,0,0
28281,260,1,214,0,0
28281,151,3,105,0,0
28281,44,0,0,0,0
28281,47,0,0,0,0
28281,41,0,0,0,0
28281,235,1,191,0,0
28281,126,3,62,0,0
28281,63,0,0,0,0
28281,49,0,0,0,0
28281,42,0,0,0,0
28281,291,3,244,0,0
28281,97,1,53,0,0
28281,46,0,0,0,0
28281,44,0,0,0,0
28281,208,1,165,0,0
28281,137,2,70,0,0
28281,124,2,73,0,0
28281,103,2,55,0,0
28281,110,1,50,0,0
28281,139,2,91,0,0
28281,44,0,0,0,0
28281,177,2,106,0,0
28281,45,0,0,0,0
28281,115,1,70,0,0
28281,44,0,0,0,0
28281,45,0,0,0,0
28281,262,3,216,0,0
28281,47,0,0,0,0
28281,124,1,81,0,0
28281,109,3,55,0,0
28281,125,2,76,0,0
28281,45,0,0,0,0
28281,170,2,114,0,0
28281,43,0,0,0,0
28281,182,2,131,0,0
28281,43,0,0,0,0
28281,125,1,75,0,0
28281,123,2,78,0,0
28281,45,0,0,0,0
28281,43,0,0,0,0
28281,44,0,0,0,0
28281,44,0,0,0,0
28281,533,2,487,0,0
28281,136,3,68,0,0
28281,45,0,0,0,0
28281,110,1,65,0,0
28281,45,0,0,0,0
28281,44,0,0,0,0
28281,222,1,175,0,0
28281,101,2,52,0,0
28281,118,1,74,0,0
28281,101,2,54,0,0
28281,43,0,0,0,0
28281,172,1,129,0,0
28281,95,2,49,0,0
28281,44,0,0,0,0
28281,176,3,132,0,0
28281,49,0,0,0,0
28281,44,0,0,0,0
28281,211,3,166,0,0
28281,59,0,0,0,0
28281,144,1,100,0,0
28281,89,2,45,0,0
28281,46,0,0,0,0
28281,154,1,81,0,0
28281,109,1,63,0,0
28281,43,0,0,0,0
28281,42,0,0,0,0
28281,215,1,167,0,0
