pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
29280,145,2,84,0,0
29280,199,2,100,0,0
29280,220,3,168,0,0
29280,311,2,232,0,0
29280,176,3,130,0,0
29280,183,2,127,0,0
29280,237,2,163,0,0
29280,219,3,163,0,0
29280,142,3,90,0,0
29280,154,2,97,0,0
29280,185,3,140,0,0
29280,163,3,108,0,0
29280,185,2,125,0,0
29280,159,2,90,0,0
29280,200,2,124,0,0
29280,147,2,98,0,0
29280,208,3,150,0,0
29280,199,2,116,0,0
29280,103,1,52,0,0
29280,54,0,0,0,0
29280,63,0,0,0,0
29280,61,0,0,0,0
29280,64,0,0,0,0
29280,1362,2,1290,0,0
29280,118,2,69,0,0
29280,117,2,68,0,0
29280,41,0,0,0,0
29280,42,0,0,0,0
29280,44,0,0,0,0
29280,419,3,362,0,0
29280,133,1,86,0,0
29280,153,2,103,0,0
29280,105,1,57,0,0
29280,55,0,0,0,0
29280,307,1,264,0,0
29280,176,2,110,0,0
29280,43,0,0,0,0
29280,391,3,344,0,0
29280,47,0,0,0,0
29280,170,1,126,0,0
29280,132,2,80,0,0
29280,43,0,0,0,0
29280,315,3,265,0,0
29280,82,0,0,0,0
29280,43,0,0,0,0
29280,332,3,286,0,0
29280,48,0,0,0,0
29280,169,1,125,0,0
29280,175,4,124,0,0
29280,99,1,47,0,0
29280,46,0,0,0,0
29280,43,0,0,0,0
29280,421,3,377,0,0
29280,63,0,0,0,0
29280,209,1,163,0,0
29280,212,3,158,0,0
29280,183,2,129,0,0
29280,45,0,0,0,0
29280,42,0,0,0,0
29280,434,3,389,0,0
29280,53,0,0,0,0
29280,225,1,177,0,0
29280,204,3,135,0,0
29280,199,2,129,0,0
29280,290,3,208,0,0
29280,165,1,113,0,0
29280,49,0,0,0,0
29280,47,0,0,0,0
29280,390,2,330,0,0
29280,192,3,129,0,0
29280,228,3,155,0,0
29280,203,1,117,0,0
29280,43,0,0,0,0
29280,48,0,0,0,0
29280,451,3,390,0,0
29280,41,0,0,0,0
29280,286,3,240,0,0
29280,53,0,0,0,0
29280,174,1,130,0,0
29280,131,2,85,0,0
29280,45,0,0,0,0
29280,297,2,246,0,0
29280,76,1,18,0,0
29280,47,0,0,0,0
29280,333,3,279,0,0
29280,67,0,0,0,0
29280,45,0,0,0,0
29280,374,3,323,0,0
29280,78,0,0,0,0
29280,170,1,125,0,0
29280,245,3,187,0,0
29280,204,2,129,0,0
29280,147,1,90,0,0
29280,48,0,0,0,0
29280,300,3,251,0,0
29280,61,0,0,0,0
29280,46,0,0,0,0
29280,391,3,324,0,0
29280,75,0,0,0,0
29280,211,1,157,0,0
29280,154,2,85,0,0
29280,42,0,0,0,0
29280,265,3,219,0,0
29280,77,0,0,0,0
29280,43,0,0,0,0
29280,301,3,254,0,0
29280,54,0,0,0,0
29280,178,1,131,0,0
29280,262,4,192,0,0
29280,132,1,87,0,0
29280,48,0,0,0,0
29280,184,1,143,0,0
29280,203,2,159,0,0
29280,45,0,0,0,0
29280,223,2,179,0,0
29280,132,3,82,0,0
29280,128,1,76,0,0
29280,207,3,160,0,0
29280,116,1,57,0,0
29280,148,2,82,0,0
29280,129,1,67,0,0
29280,43,0,0,0,0
29280,42,0,0,0,0
29280,44,0,0,0,0
29280,482,2,424,0,0
29280,143,2,82,0,0
29280,131,2,83,0,0
29280,140,2,93,0,0
29280,230,3,159,0,0
29280,149,2,86,0,0
29280,255,3,189,0,0
29280,264,2,203,0,0
29280,155,2,107,0,0
29280,213,3,147,0,0
29280,170,3,119,0,0
29280,177,2,125,0,0
29280,136,1,90,0,0
29280,208,3,148,0,0
29280,236,2,148,0,0
29280,172,2,104,0,0
29280,179,3,130,0,0
29280,142,2,96,0,0
29280,172,3,110,0,0
29280,179,2,105,0,0
29280,189,2,135,0,0
29280,179,2,122,0,0
29280,170,3,116,0,0
29280,132,2,85,0,0
29280,250,2,185,0,0
29280,271,3,217,0,0
29280,107,1,61,0,0
29280,119,1,65,0,0
29280,43,0,0,0,0
29280,228,1,182,0,0
29280,139,2,92,0,0
29280,43,0,0,0,0
29280,361,3,311,0,0
29280,46,0,0,0,0
29280,277,3,231,0,0
29280,49,0,0,0,0
29280,205,1,164,0,0
29280,177,2,113,0,0
29280,45,0,0,0,0
29280,174,1,129,0,0
29280,128,2,71,0,0
29280,42,0,0,0,0
29280,324,3,266,0,0
29280,75,0,0,0,0
29280,44,0,0,0,0
29280,335,3,290,0,0
29280,61,0,0,0,0
29280,180,1,135,0,0
29280,234,4,166,0,0
29280,124,1,80,0,0
29280,146,1,100,0,0
29280,44,0,0,0,0
29280,47,0,0,0,0
29280,389,3,340,0,0
29280,59,0,0,0,0
29280,254,1,203,0,0
29280,153,2,91,0,0
29280,49,0,0,0,0
29280,388,3,339,0,0
29280,67,0,0,0,0
29280,193,1,146,0,0
29280,184,2,105,0,0
29280,304,3,218,0,0
29280,128,1,55,0,0
29280,288,3,210,0,0
29280,159,1,112,0,0
29280,53,0,0,0,0
29280,45,0,0,0,0
29280,309,3,263,0,0
29280,44,0,0,0,0
29280,240,1,192,0,0
29280,296,4,219,0,0
29280,146,3,89,0,0
29280,137,1,67,0,0
29280,182,3,127,0,0
29280,154,1,76,0,0
29280,316,3,246,0,0
29280,222,2,153,0,0
