pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
9,239,1,79,0,0
9,158,1,1,0,0
9,155,1,1,0,0
9,153,1,2,0,0
9,153,1,1,0,0
9,158,1,1,0,0
9,153,1,2,0,0
9,152,1,1,0,0
9,199,1,1,0,0
9,255,1,1,0,0
9,194,1,1,0,0
9,153,1,1,0,0
9,145,1,2,0,0
9,152,1,1,0,0
9,166,1,1,0,0
9,151,1,1,0,0
9,148,1,1,0,0
9,136,1,1,0,0
9,141,1,1,0,0
9,150,1,2,0,0
9,143,1,0,0,0
9,138,1,2,0,0
9,156,1,1,0,0
9,202,1,1,0,0
9,270,1,1,0,0
9,210,1,1,0,0
9,151,1,1,0,0
9,148,1,1,0,0
9,155,1,2,0,0
9,158,1,2,0,0
9,148,1,1,0,0
9,137,1,1,0,0
9,137,1,1,0,0
9,133,1,1,0,0
9,138,1,1,0,0
9,158,1,1,0,0
9,155,1,1,0,0
9,165,1,2,0,0
9,219,1,1,0,0
9,264,1,1,0,0
9,178,1,1,0,0
9,142,1,1,0,0
9,142,1,1,0,0
9,162,1,1,0,0
9,151,1,1,0,0
9,148,1,2,0,0
9,149,1,1,0,0
9,149,1,1,0,0
9,144,1,1,0,0
9,134,1,1,0,0
9,144,1,1,0,0
9,138,1,1,0,0
9,147,1,2,0,0
9,166,1,1,0,0
9,285,1,1,0,0
9,225,1,1,0,0
9,155,1,1,0,0
9,144,1,1,0,0
9,147,1,1,0,0
9,150,1,1,0,0
9,149,1,1,0,0
9,147,1,2,0,0
9,158,1,1,0,0
9,148,1,1,0,0
9,160,1,2,0,0
9,153,1,2,0,0
9,150,1,1,0,0
9,149,1,1,0,0
9,166,1,1,0,0
9,237,1,1,0,0
9,196,1,1,0,0
9,168,1,1,0,0
9,146,1,2,0,0
9,162,1,1,0,0
9,152,1,1,0,0
9,153,1,2,0,0
9,150,1,1,0,0
9,152,1,1,0,0
9,149,1,2,0,0
9,154,1,1,0,0
9,157,1,2,0,0
9,148,1,1,0,0
9,156,1,1,0,0
9,268,1,1,0,0
9,282,1,1,0,0
9,158,1,2,0,0
9,149,1,1,0,0
9,149,1,1,0,0
9,149,1,2,0,0
9,152,1,1,0,0
9,145,1,1,0,0
9,151,1,1,0,0
9,157,1,2,0,0
9,157,1,1,0,0
9,149,1,1,0,0
9,154,1,2,0,0
9,154,1,1,0,0
9,195,1,1,0,0
9,255,1,2,0,0
9,180,1,0,0,0
9,133,1,2,0,0
9,143,1,1,0,0
9,156,1,1,0,0
9,153,1,1,0,0
9,150,1,2,0,0
9,152,1,1,0,0
9,143,1,1,0,0
9,153,1,1,0,0
9,150,1,1,0,0
9,153,1,2,0,0
9,155,1,1,0,0
9,151,1,2,0,0
9,246,1,1,0,0
9,262,1,1,0,0
9,164,1,1,0,0
9,144,1,1,0,0
9,143,1,1,0,0
9,147,1,1,0,0
9,142,1,1,0,0
9,151,1,2,0,0
9,149,1,1,0,0
9,155,1,2,0,0
9,148,1,1,0,0
9,175,1,2,0,0
9,154,1,1,0,0
9,155,1,1,0,0
9,155,1,1,0,0
9,279,1,1,0,0
9,244,1,1,0,0
9,150,1,2,0,0
9,150,1,1,0,0
9,151,1,1,0,0
9,148,1,1,0,0
9,147,1,1,0,0
9,153,1,2,0,0
9,155,1,1,0,0
9,156,1,1,0,0
9,148,1,1,0,0
9,145,1,1,0,0
9,136,1,1,0,0
9,160,1,1,0,0
9,185,1,1,0,0
9,249,1,1,0,0
9,188,1,1,0,0
9,146,1,1,0,0
9,146,1,2,0,0
9,156,1,1,0,0
9,162,1,1,0,0
9,146,1,2,0,0
9,156,1,1,0,0
9,152,1,1,0,0
9,146,1,2,0,0
9,156,1,1,0,0
9,154,1,2,0,0
9,154,1,2,0,0
9,151,1,1,0,0
9,252,1,1,0,0
9,258,1,1,0,0
9,162,1,1,0,0
9,139,1,1,0,0
9,136,1,1,0,0
9,136,1,1,0,0
9,150,1,1,0,0
9,140,1,2,0,0
9,149,1,1,0,0
9,153,1,2,0,0
9,155,1,1,0,0
9,149,1,2,0,0
9,154,1,1,0,0
9,148,1,2,0,0
9,154,1,2,0,0
9,175,1,1,0,0
9,264,1,1,0,0
9,214,1,1,0,0
9,148,1,1,0,0
9,137,1,1,0,0
9,143,1,2,0,0
9,166,1,2,0,0
9,133,1,2,0,0
9,138,1,1,0,0
9,145,1,2,0,0
9,163,1,2,0,0
9,146,1,1,0,0
9,164,1,1,0,0
9,143,1,1,0,0
9,146,1,1,0,0
9,175,1,1,0,0
9,282,1,1,0,0
9,257,1,1,0,0
9,179,1,1,0,0
9,151,1,1,0,0
9,142,1,1,0,0
9,163,1,3,0,0
9,152,1,1,0,0
9,159,1,1,0,0
9,156,1,2,0,0
9,164,1,1,0,0
9,166,1,2,0,0
9,155,1,1,0,0
9,160,1,2,0,0
9,158,1,1,0,0
9,290,1,1,0,0
9,262,1,1,0,0
9,175,1,2,0,0
9,161,1,2,0,0
9,156,1,1,0,0
9,158,1,1,0,0
9,151,1,2,0,0
9,139,1,1,0,0
9,151,1,2,0,0
9,142,1,1,0,0
9,153,1,2,0,0
9,150,1,1,0,0
9,135,1,1,0,0
9,134,1,1,0,0
9,208,1,2,0,0
9,284,1,1,0,0
9,225,1,2,0,0
9,158,1,1,0,0
9,157,1,1,0,0
9,166,1,1,0,0
9,167,1,1,0,0
9,148,1,2,0,0
9,149,1,1,0,0
9,165,1,1,0,0
9,147,1,2,0,0
9,164,1,2,0,0
9,168,1,3,0,0
9,159,1,1,0,0
9,154,1,1,0,0
9,287,1,1,0,0
9,260,1,2,0,0
9,152,1,1,0,0
9,144,1,1,0,0
9,144,1,1,0,0
9,143,1,1,0,0
9,165,1,1,0,0
9,152,1,1,0,0
9,150,1,2,0,0
9,150,1,1,0,0
9,153,1,1,0,0
9,170,1,1,0,0
9,175,1,2,0,0
9,159,1,1,0,0
9,264,1,2,0,0
