pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
13,247,0,0,0,0
13,185,0,0,0,0
13,156,1,10,0,0
13,127,0,0,0,0
13,172,1,11,0,0
13,134,1,2,0,0
13,150,1,1,0,0
13,147,1,1,0,0
13,147,1,1,0,0
13,148,1,1,0,0
13,284,1,1,0,0
13,242,1,0,0,0
13,150,1,3,0,0
13,172,1,1,0,0
13,148,1,1,0,0
13,138,1,1,0,0
13,144,1,1,0,0
13,138,1,1,0,0
13,139,1,1,0,0
13,140,1,1,0,0
13,156,1,1,0,0
13,137,1,1,0,0
13,138,1,1,0,0
13,140,1,1,0,0
13,158,1,1,0,0
13,282,1,1,0,0
13,238,1,1,0,0
13,149,1,2,0,0
13,148,1,1,0,0
13,146,1,1,0,0
13,149,1,3,0,0
13,163,1,1,0,0
13,154,1,1,0,0
13,148,1,1,0,0
13,170,1,2,0,0
13,157,1,1,0,0
13,156,1,1,0,0
13,165,1,1,0,0
13,150,1,2,0,0
13,265,1,1,0,0
13,225,1,1,0,0
13,158,1,1,0,0
13,150,1,1,0,0
13,150,1,1,0,0
13,154,1,2,0,0
13,152,1,1,0,0
13,154,1,1,0,0
13,144,1,1,0,0
13,140,1,1,0,0
13,149,1,1,0,0
13,135,1,2,0,0
13,143,1,1,0,0
13,144,1,1,0,0
13,142,1,1,0,0
13,238,1,2,0,0
13,253,1,1,0,0
13,152,1,1,0,0
13,156,1,1,0,0
13,155,1,2,0,0
13,169,1,1,0,0
13,150,1,1,0,0
13,150,1,2,0,0
13,144,1,1,0,0
13,154,1,1,0,0
13,145,1,1,0,0
13,159,1,2,0,0
13,153,1,1,0,0
13,149,1,1,0,0
13,182,1,1,0,0
13,289,1,1,0,0
13,180,1,2,0,0
13,156,1,1,0,0
13,152,1,1,0,0
13,147,1,1,0,0
13,152,1,1,0,0
13,155,1,1,0,0
13,149,1,1,0,0
13,143,1,1,0,0
13,138,1,1,0,0
13,138,1,1,0,0
13,159,1,1,0,0
13,142,1,1,0,0
13,144,1,1,0,0
13,234,1,3,0,0
13,259,1,1,0,0
13,173,1,1,0,0
13,145,1,1,0,0
13,139,1,1,0,0
13,133,1,1,0,0
13,171,1,3,0,0
13,155,1,1,0,0
13,145,1,0,0,0
13,152,1,2,0,0
13,157,1,1,0,0
13,149,1,1,0,0
13,169,1,1,0,0
13,149,1,1,0,0
13,183,1,1,0,0
13,207,1,1,0,0
13,252,1,1,0,0
13,169,1,1,0,0
13,144,1,1,0,0
13,164,1,1,0,0
13,156,1,2,0,0
13,148,1,1,0,0
13,149,1,0,0,0
13,157,1,2,0,0
13,151,1,1,0,0
13,147,1,2,0,0
13,159,1,1,0,0
13,148,1,1,0,0
13,153,1,2,0,0
13,138,1,1,0,0
13,290,1,1,0,0
13,266,1,1,0,0
13,154,1,1,0,0
13,152,1,2,0,0
13,154,1,1,0,0
13,162,1,2,0,0
13,151,1,1,0,0
13,164,1,1,0,0
13,156,1,1,0,0
13,143,1,1,0,0
13,150,1,1,0,0
13,153,1,1,0,0
13,155,1,1,0,0
13,149,1,1,0,0
13,269,1,1,0,0
13,282,1,1,0,0
13,157,1,1,0,0
13,159,1,1,0,0
13,152,1,1,0,0
13,152,1,2,0,0
13,155,1,1,0,0
13,153,1,1,0,0
13,162,1,1,0,0
13,163,1,1,0,0
13,155,1,2,0,0
13,148,1,1,0,0
13,145,1,1,0,0
13,158,1,1,0,0
13,266,1,1,0,0
13,262,1,1,0,0
13,153,1,2,0,0
13,155,1,1,0,0
13,140,1,1,0,0
13,146,1,1,0,0
13,143,1,1,0,0
13,143,1,1,0,0
13,148,1,1,0,0
13,151,1,1,0,0
13,151,1,2,0,0
13,148,1,1,0,0
13,152,1,1,0,0
13,143,1,1,0,0
13,143,1,1,0,0
13,253,1,1,0,0
13,240,1,1,0,0
13,152,1,1,0,0
13,151,1,2,0,0
13,151,1,1,0,0
13,150,1,2,0,0
13,153,1,1,0,0
13,155,1,1,0,0
13,151,1,2,0,0
13,148,1,1,0,0
13,148,1,1,0,0
13,151,1,1,0,0
13,148,1,1,0,0
13,161,1,1,0,0
13,202,1,2,0,0
13,264,1,1,0,0
13,197,1,1,0,0
13,149,1,1,0,0
13,138,1,1,0,0
13,152,1,1,0,0
13,141,1,1,0,0
13,142,1,1,0,0
13,148,1,2,0,0
13,153,1,1,0,0
13,148,1,1,0,0
13,152,1,1,0,0
13,159,1,1,0,0
13,144,1,1,0,0
13,153,1,2,0,0
13,178,1,1,0,0
13,267,1,2,0,0
13,246,1,1,0,0
13,148,1,1,0,0
13,142,1,1,0,0
13,146,1,1,0,0
13,152,1,1,0,0
13,135,1,1,0,0
13,143,1,1,0,0
13,141,1,1,0,0
13,137,1,1,0,0
13,150,1,2,0,0
13,149,1,1,0,0
13,157,1,1,0,0
13,144,1,2,0,0
13,146,1,1,0,0
13,274,1,1,0,0
13,218,1,1,0,0
13,140,1,1,0,0
13,141,1,2,0,0
13,159,1,2,0,0
13,149,1,1,0,0
13,155,1,1,0,0
13,147,1,1,0,0
13,140,1,1,0,0
13,144,1,1,0,0
13,150,1,1,0,0
13,151,1,1,0,0
13,155,1,2,0,0
13,152,1,1,0,0
13,164,1,1,0,0
13,271,1,1,0,0
13,230,1,1,0,0
13,154,1,1,0,0
13,167,1,1,0,0
13,132,1,1,0,0
13,147,1,1,0,0
13,157,1,2,0,0
13,153,1,1,0,0
13,148,1,1,0,0
13,157,1,2,0,0
13,154,1,1,0,0
13,157,1,1,0,0
13,152,1,2,0,0
13,150,1,1,0,0
13,259,1,1,0,0
13,260,1,1,0,0
13,159,1,3,0,0
13,152,1,1,0,0
13,156,1,1,0,0
13,158,1,1,0,0
13,159,1,2,0,0
13,149,1,2,0,0
13,156,1,1,0,0
