pid,business_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
9,161,0,0,0,0
9,88,0,0,0,0
9,88,0,0,0,0
9,164,0,0,0,0
9,107,0,0,0,0
9,93,0,0,0,0
9,91,0,0,0,0
9,109,0,0,0,0
9,95,0,0,0,0
9,121,0,0,0,0
9,220,0,0,0,0
9,136,0,0,0,0
9,124,0,0,0,0
9,117,0,0,0,0
9,128,0,0,0,0
9,167,0,0,0,0
9,124,0,0,0,0
9,125,0,0,0,0
9,99,0,0,0,0
9,96,0,0,0,0
9,116,0,0,0,0
9,115,0,0,0,0
9,177,0,0,0,0
9,198,0,0,0,0
9,127,0,0,0,0
9,98,0,0,0,0
9,155,0,0,0,0
9,102,0,0,0,0
9,101,0,0,0,0
9,95,1,9,0,0
9,115,0,0,0,0
9,108,1,7,0,0
9,87,0,0,0,0
9,107,0,0,0,0
9,112,1,10,0,0
9,121,0,0,0,0
9,168,0,0,0,0
9,178,1,24,0,0
9,129,0,0,0,0
9,101,0,0,0,0
9,120,1,16,0,0
9,104,0,0,0,0
9,103,1,5,0,0
9,81,0,0,0,0
9,84,0,0,0,0
9,99,0,0,0,0
9,96,1,2,0,0
9,116,0,0,0,0
9,115,0,0,0,0
9,121,0,0,0,0
9,130,1,3,0,0
9,161,0,0,0,0
9,148,0,0,0,0
9,99,0,0,0,0
9,121,0,0,0,0
9,94,0,0,0,0
9,105,1,2,0,0
9,92,0,0,0,0
9,87,0,0,0,0
9,99,0,0,0,0
9,89,0,0,0,0
9,93,0,0,0,0
9,109,1,2,0,0
9,104,0,0,0,0
9,82,0,0,0,0
9,120,0,0,0,0
9,102,0,0,0,0
9,97,0,0,0,0
9,135,1,4,0,0
9,94,0,0,0,0
9,89,0,0,0,0
9,89,0,0,0,0
9,80,0,0,0,0
9,107,0,0,0,0
9,99,1,3,0,0
9,150,0,0,0,0
9,115,0,0,0,0
9,126,0,0,0,0
9,81,0,0,0,0
9,121,1,3,0,0
9,170,0,0,0,0
9,114,0,0,0,0
9,111,0,0,0,0
9,118,0,0,0,0
9,100,1,3,0,0
9,102,0,0,0,0
9,92,0,0,0,0
9,145,0,0,0,0
9,108,0,0,0,0
9,112,1,2,0,0
9,119,0,0,0,0
9,102,0,0,0,0
9,102,0,0,0,0
9,139,0,0,0,0
9,136,1,8,0,0
9,86,0,0,0,0
